"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"02","Dublin","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","1320"
"02","Dublin","2006","2006","ROA20C4","Killed Casualties","Number","34"
"02","Dublin","2006","2006","ROA20C5","Injured Casualties","Number","1713"
"02","Dublin","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","1747"
"02","Dublin","2007","2007","ROA20C1","Fatal Collisions","Number","33"
"02","Dublin","2007","2007","ROA20C2","Injury Collisions","Number","937"
"02","Dublin","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","970"
"02","Dublin","2007","2007","ROA20C4","Killed Casualties","Number","35"
"02","Dublin","2007","2007","ROA20C5","Injured Casualties","Number","1217"
"02","Dublin","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","1252"
"02","Dublin","2008","2008","ROA20C1","Fatal Collisions","Number","21"
"02","Dublin","2008","2008","ROA20C2","Injury Collisions","Number","1523"
"02","Dublin","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","1544"
"02","Dublin","2008","2008","ROA20C4","Killed Casualties","Number","22"
"02","Dublin","2008","2008","ROA20C5","Injured Casualties","Number","1992"
"02","Dublin","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","2014"
"02","Dublin","2009","2009","ROA20C1","Fatal Collisions","Number","30"
"02","Dublin","2009","2009","ROA20C2","Injury Collisions","Number","1517"
"02","Dublin","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","1547"
"02","Dublin","2009","2009","ROA20C4","Killed Casualties","Number","31"
"02","Dublin","2009","2009","ROA20C5","Injured Casualties","Number","2028"
"02","Dublin","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","2059"
"02","Dublin","2010","2010","ROA20C1","Fatal Collisions","Number","19"
"02","Dublin","2010","2010","ROA20C2","Injury Collisions","Number","1368"
"02","Dublin","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","1387"
"02","Dublin","2010","2010","ROA20C4","Killed Casualties","Number","20"
"02","Dublin","2010","2010","ROA20C5","Injured Casualties","Number","1761"
"02","Dublin","2010","2010","ROA20C6","All Killed and Injured Casualties","Number","1781"
"02","Dublin","2011","2011","ROA20C1","Fatal Collisions","Number","11"
"02","Dublin","2011","2011","ROA20C2","Injury Collisions","Number","1268"
