"STATISTIC","Statistic Label","TLIST(A1)","Year","C03119V03771","Hour of Day","UNIT","VALUE"
"ROA19C4","Killed Casualties","2010","2010","04","3","Number","8"
"ROA19C4","Killed Casualties","2010","2010","05","4","Number","5"
"ROA19C4","Killed Casualties","2010","2010","06","5","Number","7"
"ROA19C4","Killed Casualties","2010","2010","07","6","Number","10"
"ROA19C4","Killed Casualties","2010","2010","08","7","Number","13"
"ROA19C4","Killed Casualties","2010","2010","09","8","Number","5"
"ROA19C4","Killed Casualties","2010","2010","10","9","Number","6"
"ROA19C4","Killed Casualties","2010","2010","11","10","Number","7"
"ROA19C4","Killed Casualties","2010","2010","12","11","Number","8"
"ROA19C4","Killed Casualties","2010","2010","13","12","Number","5"
"ROA19C4","Killed Casualties","2010","2010","14","13","Number","7"
"ROA19C4","Killed Casualties","2010","2010","15","14","Number","5"
"ROA19C4","Killed Casualties","2010","2010","16","15","Number","10"
"ROA19C4","Killed Casualties","2010","2010","17","16","Number","5"
"ROA19C4","Killed Casualties","2010","2010","18","17","Number","5"
"ROA19C4","Killed Casualties","2010","2010","19","18","Number","10"
"ROA19C4","Killed Casualties","2010","2010","20","19","Number","17"
"ROA19C4","Killed Casualties","2010","2010","21","20","Number","7"
"ROA19C4","Killed Casualties","2010","2010","22","21","Number","10"
"ROA19C4","Killed Casualties","2010","2010","23","22","Number","16"
"ROA19C4","Killed Casualties","2010","2010","24","23","Number","11"
"ROA19C4","Killed Casualties","2011","2011","-","All hours","Number","186"
"ROA19C4","Killed Casualties","2011","2011","01","12 midnight","Number","10"
"ROA19C4","Killed Casualties","2011","2011","02","1","Number","8"
"ROA19C4","Killed Casualties","2011","2011","03","2","Number","8"
"ROA19C4","Killed Casualties","2011","2011","04","3","Number","10"
"ROA19C4","Killed Casualties","2011","2011","05","4","Number","6"
"ROA19C4","Killed Casualties","2011","2011","06","5","Number","5"
"ROA19C4","Killed Casualties","2011","2011","07","6","Number","4"
"ROA19C4","Killed Casualties","2011","2011","08","7","Number","5"
"ROA19C4","Killed Casualties","2011","2011","09","8","Number","4"
"ROA19C4","Killed Casualties","2011","2011","10","9","Number","4"
"ROA19C4","Killed Casualties","2011","2011","11","10","Number","10"
"ROA19C4","Killed Casualties","2011","2011","12","11","Number","6"
"ROA19C4","Killed Casualties","2011","2011","13","12","Number","3"
"ROA19C4","Killed Casualties","2011","2011","14","13","Number","8"
"ROA19C4","Killed Casualties","2011","2011","15","14","Number","9"
"ROA19C4","Killed Casualties","2011","2011","16","15","Number","10"
"ROA19C4","Killed Casualties","2011","2011","17","16","Number","19"
"ROA19C4","Killed Casualties","2011","2011","18","17","Number","10"
"ROA19C4","Killed Casualties","2011","2011","19","18","Number","5"
"ROA19C4","Killed Casualties","2011","2011","20","19","Number","6"
"ROA19C4","Killed Casualties","2011","2011","21","20","Number","11"
"ROA19C4","Killed Casualties","2011","2011","22","21","Number","7"
"ROA19C4","Killed Casualties","2011","2011","23","22","Number","9"
"ROA19C4","Killed Casualties","2011","2011","24","23","Number","9"
"ROA19C4","Killed Casualties","2012","2012","-","All hours","Number","162"
"ROA19C4","Killed Casualties","2012","2012","01","12 midnight","Number","8"
"ROA19C4","Killed Casualties","2012","2012","02","1","Number","5"
"ROA19C4","Killed Casualties","2012","2012","03","2","Number","6"
"ROA19C4","Killed Casualties","2012","2012","04","3","Number","6"
"ROA19C4","Killed Casualties","2012","2012","05","4","Number","6"
"ROA19C4","Killed Casualties","2012","2012","06","5","Number","1"
"ROA19C4","Killed Casualties","2012","2012","07","6","Number","3"
"ROA19C4","Killed Casualties","2012","2012","08","7","Number","4"
"ROA19C4","Killed Casualties","2012","2012","09","8","Number","7"
"ROA19C4","Killed Casualties","2012","2012","10","9","Number","6"
"ROA19C4","Killed Casualties","2012","2012","11","10","Number","2"
"ROA19C4","Killed Casualties","2012","2012","12","11","Number","7"
"ROA19C4","Killed Casualties","2012","2012","13","12","Number","6"
"ROA19C4","Killed Casualties","2012","2012","14","13","Number","9"
"ROA19C4","Killed Casualties","2012","2012","15","14","Number","3"
"ROA19C4","Killed Casualties","2012","2012","16","15","Number","8"
"ROA19C4","Killed Casualties","2012","2012","17","16","Number","12"
"ROA19C4","Killed Casualties","2012","2012","18","17","Number","17"
"ROA19C4","Killed Casualties","2012","2012","19","18","Number","13"
"ROA19C4","Killed Casualties","2012","2012","20","19","Number","8"
"ROA19C4","Killed Casualties","2012","2012","21","20","Number","4"
"ROA19C4","Killed Casualties","2012","2012","22","21","Number","9"
"ROA19C4","Killed Casualties","2012","2012","23","22","Number","6"
"ROA19C4","Killed Casualties","2012","2012","24","23","Number","6"
"ROA19C4","Killed Casualties","2013","2013","-","All hours","Number","188"
"ROA19C4","Killed Casualties","2013","2013","01","12 midnight","Number","6"
"ROA19C4","Killed Casualties","2013","2013","02","1","Number","7"
"ROA19C4","Killed Casualties","2013","2013","03","2","Number","10"
"ROA19C4","Killed Casualties","2013","2013","04","3","Number","5"
"ROA19C4","Killed Casualties","2013","2013","05","4","Number","5"
"ROA19C4","Killed Casualties","2013","2013","06","5","Number","3"
"ROA19C4","Killed Casualties","2013","2013","07","6","Number","5"
"ROA19C4","Killed Casualties","2013","2013","08","7","Number","4"
"ROA19C4","Killed Casualties","2013","2013","09","8","Number","5"
"ROA19C4","Killed Casualties","2013","2013","10","9","Number","4"
"ROA19C4","Killed Casualties","2013","2013","11","10","Number","5"
"ROA19C4","Killed Casualties","2013","2013","12","11","Number","9"
"ROA19C4","Killed Casualties","2013","2013","13","12","Number","9"
